name,team,opposition,position,status,runs,balls,fours,sixes,strike_rate,match_id,year
Rohit Sharma,MI,CSK,1,c Curran b Chawla,12,10,2,0,120.00,mumbai-indians-vs-chennai-super-kings-1st-match-1216492,2020
Quinton de Kock,MI,CSK,1,c Watson b Curran,33,20,5,0,165.00,mumbai-indians-vs-chennai-super-kings-1st-match-1216492,2020
Suryakumar Yadav,MI,CSK,3,c Curran b Chahar,17,16,2,0,106.25,mumbai-indians-vs-chennai-super-kings-1st-match-1216492,2020
Saurabh Tiwary,MI,CSK,4,c du Plessis b Jadeja,42,31,3,1,135.48,mumbai-indians-vs-chennai-super-kings-1st-match-1216492,2020
Hardik Pandya,MI,CSK,5,c du Plessis b Jadeja,14,10,0,2,140.00,mumbai-indians-vs-chennai-super-kings-1st-match-1216492,2020
Kieron Pollard,MI,CSK,6,c †Dhoni b Ngidi,18,14,1,1,128.57,mumbai-indians-vs-chennai-super-kings-1st-match-1216492,2020
Krunal Pandya,MI,CSK,7,c †Dhoni b Ngidi,3,3,0,0,100.00,mumbai-indians-vs-chennai-super-kings-1st-match-1216492,2020
James Pattinson,MI,CSK,8,c du Plessis b Ngidi,11,8,2,0,137.50,mumbai-indians-vs-chennai-super-kings-1st-match-1216492,2020
Rahul Chahar,MI,CSK,9,not out,2,4,0,0,50.00,mumbai-indians-vs-chennai-super-kings-1st-match-1216492,2020
Trent Boult,MI,CSK,10,b Chahar,0,1,0,0,0.00,mumbai-indians-vs-chennai-super-kings-1st-match-1216492,2020
Jasprit Bumrah,MI,CSK,11,not out,5,3,0,0,166.66,mumbai-indians-vs-chennai-super-kings-1st-match-1216492,2020
Murali Vijay,CSK,MI,1,lbw b Pattinson,1,7,0,0,14.28,mumbai-indians-vs-chennai-super-kings-1st-match-1216492,2020
Shane Watson,CSK,MI,1,lbw b Boult,4,5,1,0,80.00,mumbai-indians-vs-chennai-super-kings-1st-match-1216492,2020
Faf du Plessis,CSK,MI,3,not out,58,44,6,0,131.81,mumbai-indians-vs-chennai-super-kings-1st-match-1216492,2020
Ambati Rayudu,CSK,MI,4,c & b Chahar,71,48,6,3,147.91,mumbai-indians-vs-chennai-super-kings-1st-match-1216492,2020
Ravindra Jadeja,CSK,MI,5,lbw b KH Pandya,10,5,2,0,200.00,mumbai-indians-vs-chennai-super-kings-1st-match-1216492,2020
Sam Curran,CSK,MI,6,c Pattinson b Bumrah,18,6,1,2,300.00,mumbai-indians-vs-chennai-super-kings-1st-match-1216492,2020
MS Dhoni,CSK,MI,7,not out,0,2,0,0,0.00,mumbai-indians-vs-chennai-super-kings-1st-match-1216492,2020
Prithvi Shaw,DC,PBKS,1,c Jordan b Mohammed Shami,5,9,1,0,55.55,delhi-capitals-vs-kings-xi-punjab-2nd-match-1216493,2020
Shikhar Dhawan,DC,PBKS,1,run out (†Rahul/Gowtham),0,2,0,0,0.00,delhi-capitals-vs-kings-xi-punjab-2nd-match-1216493,2020
Shimron Hetmyer,DC,PBKS,3,c Agarwal b Mohammed Shami,7,13,1,0,53.84,delhi-capitals-vs-kings-xi-punjab-2nd-match-1216493,2020
Shreyas Iyer,DC,PBKS,4,c Jordan b Mohammed Shami,39,32,0,3,121.87,delhi-capitals-vs-kings-xi-punjab-2nd-match-1216493,2020
Rishabh Pant,DC,PBKS,5,b Ravi Bishnoi,31,29,4,0,106.89,delhi-capitals-vs-kings-xi-punjab-2nd-match-1216493,2020
Marcus Stoinis,DC,PBKS,6,run out (Pooran/†Rahul),53,21,7,3,252.38,delhi-capitals-vs-kings-xi-punjab-2nd-match-1216493,2020
Axar Patel,DC,PBKS,7,c †Rahul b Cottrell,6,9,0,0,66.66,delhi-capitals-vs-kings-xi-punjab-2nd-match-1216493,2020
Ravichandran Ashwin,DC,PBKS,8,c Mohammed Shami b Cottrell,4,6,0,0,66.66,delhi-capitals-vs-kings-xi-punjab-2nd-match-1216493,2020
Kagiso Rabada,DC,PBKS,9,not out,0,0,0,0,0.00,delhi-capitals-vs-kings-xi-punjab-2nd-match-1216493,2020
