name,team,opposition,overs,maidens,runs,wickets,economy,match_id,year
Deepak Chahar,CSK,MI,4.0,0,32,2,8.00,mumbai-indians-vs-chennai-super-kings-1st-match-1216492,2020
Sam Curran,CSK,MI,4.0,0,28,1,7.00,mumbai-indians-vs-chennai-super-kings-1st-match-1216492,2020
Lungi Ngidi,CSK,MI,4.0,0,38,3,9.50,mumbai-indians-vs-chennai-super-kings-1st-match-1216492,2020
Piyush Chawla,CSK,MI,4.0,0,21,1,5.25,mumbai-indians-vs-chennai-super-kings-1st-match-1216492,2020
Ravindra Jadeja,CSK,MI,4.0,0,42,2,10.50,mumbai-indians-vs-chennai-super-kings-1st-match-1216492,2020
Trent Boult,MI,CSK,3.2,0,23,1,6.90,mumbai-indians-vs-chennai-super-kings-1st-match-1216492,2020
James Pattinson,MI,CSK,4.0,0,27,1,6.75,mumbai-indians-vs-chennai-super-kings-1st-match-1216492,2020
Jasprit Bumrah,MI,CSK,4.0,0,43,1,10.75,mumbai-indians-vs-chennai-super-kings-1st-match-1216492,2020
Krunal Pandya,MI,CSK,4.0,0,37,1,9.25,mumbai-indians-vs-chennai-super-kings-1st-match-1216492,2020
Rahul Chahar,MI,CSK,4.0,0,36,1,9.00,mumbai-indians-vs-chennai-super-kings-1st-match-1216492,2020
Sheldon Cottrell,PBKS,DC,4.0,0,24,2,6.00,delhi-capitals-vs-kings-xi-punjab-2nd-match-1216493,2020
Mohammed Shami,PBKS,DC,4.0,0,15,3,3.75,delhi-capitals-vs-kings-xi-punjab-2nd-match-1216493,2020
Chris Jordan,PBKS,DC,4.0,0,56,0,14.00,delhi-capitals-vs-kings-xi-punjab-2nd-match-1216493,2020
Krishnappa Gowtham,PBKS,DC,4.0,0,39,0,9.75,delhi-capitals-vs-kings-xi-punjab-2nd-match-1216493,2020
Ravi Bishnoi,PBKS,DC,4.0,0,22,1,5.50,delhi-capitals-vs-kings-xi-punjab-2nd-match-1216493,2020
Anrich Nortje,DC,PBKS,4.0,0,33,0,8.25,delhi-capitals-vs-kings-xi-punjab-2nd-match-1216493,2020
Mohit Sharma,DC,PBKS,4.0,0,45,1,11.25,delhi-capitals-vs-kings-xi-punjab-2nd-match-1216493,2020
Kagiso Rabada,DC,PBKS,4.0,0,28,2,7.00,delhi-capitals-vs-kings-xi-punjab-2nd-match-1216493,2020
Ravichandran Ashwin,DC,PBKS,1.0,0,2,2,2.00,delhi-capitals-vs-kings-xi-punjab-2nd-match-1216493,2020
Axar Patel,DC,PBKS,4.0,0,14,1,3.50,delhi-capitals-vs-kings-xi-punjab-2nd-match-1216493,2020
Marcus Stoinis,DC,PBKS,3.0,0,29,2,9.66,delhi-capitals-vs-kings-xi-punjab-2nd-match-1216493,2020
Bhuvneshwar Kumar,SRH,RCB,4.0,0,25,0,6.25,sunrisers-hyderabad-vs-royal-challengers-bangalore-3rd-match-1216534,2020
Sandeep Sharma,SRH,RCB,4.0,0,36,0,9.00,sunrisers-hyderabad-vs-royal-challengers-bangalore-3rd-match-1216534,2020
T Natarajan,SRH,RCB,4.0,0,34,1,8.50,sunrisers-hyderabad-vs-royal-challengers-bangalore-3rd-match-1216534,2020
Mitchell Marsh,SRH,RCB,0.4,0,6,0,9.00,sunrisers-hyderabad-vs-royal-challengers-bangalore-3rd-match-1216534,2020
Vijay Shankar,SRH,RCB,1.2,0,14,1,10.50,sunrisers-hyderabad-vs-royal-challengers-bangalore-3rd-match-1216534,2020
Rashid Khan,SRH,RCB,4.0,0,31,0,7.75,sunrisers-hyderabad-vs-royal-challengers-bangalore-3rd-match-1216534,2020
Abhishek Sharma,SRH,RCB,2.0,0,16,1,8.00,sunrisers-hyderabad-vs-royal-challengers-bangalore-3rd-match-1216534,2020
Dale Steyn,RCB,SRH,3.4,0,33,1,9.00,sunrisers-hyderabad-vs-royal-challengers-bangalore-3rd-match-1216534,2020
Umesh Yadav,RCB,SRH,4.0,0,48,0,12.00,sunrisers-hyderabad-vs-royal-challengers-bangalore-3rd-match-1216534,2020
Navdeep Saini,RCB,SRH,4.0,0,25,2,6.25,sunrisers-hyderabad-vs-royal-challengers-bangalore-3rd-match-1216534,2020
Washington Sundar,RCB,SRH,1.0,0,7,0,7.00,sunrisers-hyderabad-vs-royal-challengers-bangalore-3rd-match-1216534,2020
