match_id,year,match_number,match_date,venue,city,first_batting,second_batting,first_innings_score,second_innings_score,winner,margin,man_of_the_match,rpo1,rpo2,fow1,over1,fow2,over2
chennai-super-kings-vs-deccan-chargers-16th-match-392196,2009,16,Apr 27 2009,Kingsmead, Durban,CSK,SRH,165/6,169/4,SRH, 6 wickets (with 3 balls remaining),Herschelle Gibbs,2 16 10 10 17 7 3 4 8 11 8 4 3 3 7 7 13 20 6 6,11 20 17 12 6 3 4 2 5 5 14 8 6 2 14 2 10 9 8 11,1-0 2-64 3-102 4-103 5-129 6-165,0.2 6.5 12.3 12.6 16.5 19.5,1-67 2-75 3-114 4-130,5.4 7.3 13.4 15.2
chennai-super-kings-vs-deccan-chargers-26th-match-336007,2008,26,May 6 2008,MA Chidambaram Stadium, Chepauk,CSK,SRH,144/7,148/3,SRH, 7 wickets (with 12 balls remaining),Adam Gilchrist,4 6 4 6 10 2 9 6 10 6 4 6 4 2 1 9 12 14 2 20,2 1 11 9 6 20 8 13 6 1 10 6 6 11 2 10 1 21,1-4 2-15 3-33 4-43 5-82 6-86 7-124,0.6 3.3 5.4 6.5 13.3 14.5 18.4,1-24 2-78 3-125,4.1 9.5 16.1
chennai-super-kings-vs-deccan-chargers-29th-match-392209,2009,29,May 4 2009,Buffalo Park, East London,CSK,SRH,178/3,100,CSK, 78 runs,MS Dhoni,10 5 6 13 11 8 8 7 10 6 4 11 6 6 19 7 11 5 12 13,0 1 6 8 19 18 10 7 6 4 5 11 2 2 1,1-61 2-99 3-153,6.5 12.1 17.6,1-0 2-1 3-1 4-73 5-75 6-82 7-96 8-99 9-99 10-100,0.1 1.2 2.2 8.2 8.6 10.4 12.4 13.5 13.6 14.4
chennai-super-kings-vs-deccan-chargers-2nd-semi-final-419163,2010,58,Apr 22 2010,Dr DY Patil Sports Academy, Mumbai,CSK,SRH,142/7,104,CSK, 38 runs,Doug Bollinger,6 6 13 2 4 8 4 7 5 7 8 4 6 6 10 7 9 4 12 14,1 1 8 7 2 4 7 7 3 3 6 5 4 6 17 3 17 2 1 0,1-12 2-25 3-29 4-81 5-96 6-117 7-137,1.6 3.1 4.5 13.2 14.5 18.2 19.4,1-19 2-23 3-31 4-48 5-54 6-82 7-103 8-103 9-103 10-104,5.1 5.5 7.2 10.5 12.1 15.2 17.4 17.6 18.1 19.2
chennai-super-kings-vs-deccan-chargers-39th-match-501236,2011,39,May 1 2011,MA Chidambaram Stadium, Chepauk,CSK,SRH,165/5,146/8,CSK, 19 runs,Albie Morkel,4 1 6 6 6 8 2 9 6 5 5 14 6 5 8 15 15 10 21 8,6 12 20 6 13 6 8 2 6 6 1 11 6 6 2 4 8 6 6 2,1-18 2-78 3-136 4-157 5-162,3.4 12.3 17.5 19.1 19.4,1-71 2-90 3-110 4-121 5-137 6-143 7-143 8-146,6.5 10.6 13.2 15.5 18.1 18.6 19.2 19.6
chennai-super-kings-vs-deccan-chargers-46th-match-548352,2012,46,May 4 2012,MA Chidambaram Stadium, Chepauk,CSK,SRH,160/6,150/5,CSK, 10 runs,Suresh Raina,6 5 6 9 21 9 1 11 6 6 9 10 8 9 6 5 4 6 8 13,4 5 8 8 15 6 6 5 11 6 2 6 2 4 10 4 8 18 9 9,1-15 2-79 3-109 4-124 5-142 6-147,2.2 9.4 13.1 14.6 18.4 19.1,1-9 2-77 3-85 4-135 5-148,1.4 10.4 11.6 18.3 19.4
chennai-super-kings-vs-deccan-chargers-5th-match-419110,2010,5,Mar 14 2010,MA Chidambaram Stadium, Chepauk,SRH,CSK,190/4,159/9,SRH, 31 runs,Chaminda Vaas,8 19 14 6 8 2 6 3 3 11 8 11 6 9 12 12 10 11 8 22,4 8 10 9 0 3 16 4 5 11 8 4 6 10 9 10 11 8 9 13,1-55 2-55 3-150 4-160,4.4 4.5 17.2 18.1,1-12 2-18 3-31 4-32 5-70 6-108 7-115 8-136 9-137,2.1 2.4 4.1 5.3 9.6 14.6 15.3 17.5 18.1
chennai-super-kings-vs-delhi-capitals-2nd-match-1254059,2021,2,Apr 10 2021,Wankhede Stadium, Mumbai,CSK,DC,188/7,190/3,DC, 7 wickets (with 8 balls remaining),Shikhar Dhawan,4 1 4 9 10 3 10 4 18 4 10 17 19 7 12 7 7 4 23 10,9 7 8 17 17 7 4 4 11 13 14 8 15 3 12 7 14 10 8,1-7 2-7 3-60 4-123 5-137 6-137 7-188,1.4 2.1 8.3 13.5 15.1 15.3 19.6,1-138 2-167 3-186,13.3 16.3 18.3
chennai-super-kings-vs-delhi-capitals-50th-match-1178425,2019,50,May 1 2019,MA Chidambaram Stadium, Chepauk,CSK,DC,179/4,99,DC, 80 runs,MS Dhoni,1 1 1 4 10 10 9 5 9 2 8 8 12 6 14 14 10 14 18 21,8 4 9 13 15 10 6 1 8 5 2 1 1 2 2 6 0,1-4 2-87 3-102 4-145,3.2 13.3 14.5 18.3,1-4 2-52 3-63 4-66 5-81 6-83 7-84 8-85 9-92 10-99,0.5 5.3 6.2 7.4 10.2 10.6 11.4 11.6 15.2 16.2
chennai-super-kings-vs-delhi-capitals-7th-match-1216539,2020,7,Sep 25 2020,Dubai International Cricket Stadium,Dubai,DC,CSK,175/3,131/7,DC, 44 runs,Prithvi Shaw,9 2 4 12 3 6 13 13 11 15 6 8 3 8 11 10 12 11 4 14,2 7 1 12 4 8 3 4 3 3 6 7 11 13 11 6 10 10 6 4,1-94 2-103 3-161,10.4 12.2 18.6,1-23 2-34 3-44 4-98 5-113 6-130 7-131,4.2 5.6 9.1 15.4 17.2 19.3 19.6
