player,id
Rohit Sharma,34102
Quinton de Kock,379143
Suryakumar Yadav,446507
Saurabh Tiwary,35390
Hardik Pandya,625371
Kieron Pollard,230559
Krunal Pandya,471342
James Pattinson,272465
Rahul Chahar,1064812
Trent Boult,277912
Jasprit Bumrah,625383
Deepak Chahar,447261
Sam Curran,662973
Lungi Ngidi,542023
Piyush Chawla,32966
Ravindra Jadeja,234675
Murali Vijay,237095
Shane Watson,8180
Faf du Plessis,44828
Ambati Rayudu,33141
MS Dhoni,28081
Prithvi Shaw,1070168
Shikhar Dhawan,28235
Shimron Hetmyer,670025
Shreyas Iyer,642519
Rishabh Pant,931581
Marcus Stoinis,325012
Axar Patel,554691
Ravichandran Ashwin,26421
Kagiso Rabada,550215
Anrich Nortje,481979
Sheldon Cottrell,495551
Mohammed Shami,481896
Chris Jordan,288992
Krishnappa Gowtham,424377
Ravi Bishnoi,1175441
KL Rahul,422108
Mayank Agarwal,398438
Karun Nair,398439
Nicholas Pooran,604302
Glenn Maxwell,325026
Sarfaraz Khan,642525
Mohit Sharma,537119
Devdutt Padikkal,1119026
Aaron Finch,5334
Virat Kohli,253802
AB de Villiers,44936
Shivam Dube,714451
Josh Philippe,1124282
Bhuvneshwar Kumar,326016
Sandeep Sharma,438362
T Natarajan,802575
Mitchell Marsh,272450
Vijay Shankar,477021
Rashid Khan,793463
Abhishek Sharma,1070183
David Warner,219889
Jonny Bairstow,297433
Manish Pandey,290630
Priyam Garg,1070180
Dale Steyn,47492
Umesh Yadav,376116
Navdeep Saini,700167
Washington Sundar,719715
Yuzvendra Chahal,430246
Yashasvi Jaiswal,1151278
Steven Smith,267192
Sanju Samson,425943
David Miller,321777
Robin Uthappa,35582
Rahul Tewatia,423838
Riyan Parag,1079434
Tom Curran,550235
Jofra Archer,669855
Ruturaj Gaikwad,1060380
Kedar Jadhav,290716
Jaydev Unadkat,390484
Shreyas Gopal,344580
Sandeep Warrier,592735
Shivam Mavi,1079848
Pat Cummins,489889
Sunil Narine,230558
Andre Russell,276298
Kuldeep Yadav,559235
Shubman Gill,1070173
Dinesh Karthik,30045
Nitish Rana,604527
Eoin Morgan,24598
Nikhil Naik,554700
Murugan Ashwin,528067
James Neesham,355269
Josh Hazlewood,288284
Avesh Khan,694211
Amit Mishra,31107
Wriddhiman Saha,279810
Mohammad Nabi,25913
Varun Chakravarthy,1108375
Kamlesh Nagarkoti,1070188
Khaleel Ahmed,942645
Ankit Rajpoot,591650
Jos Buttler,308967
Ishan Kishan,720471
Isuru Udana,328026
Adam Zampa,379504
Kane Williamson,277906
Abdul Samad,1175485
Ishant Sharma,236779
Shardul Thakur,475281
Dwayne Bravo,51439
Mahipal Lomror,853265
Rahul Tripathi,446763
Harshal Patel,390481
Siddarth Kaul,326017
Mandeep Singh,398506
Harpreet Brar,1168641
Mohammed Siraj,940973
Moeen Ali,8917
Kartik Tyagi,1122918
Karn Sharma,30288
Mujeeb Ur Rahman,974109
Arshdeep Singh,1125976
Prabhsimran Singh,1161024
Varun Aaron,360911
Andrew Tye,459508
Prasidh Krishna,917159
Narayan Jagadeesan,1048813
Chris Morris,439952
Ben Stokes,311158
Ajinkya Rahane,277916
Alex Carey,326434
Tom Banton,877051
Shahbaz Nadeem,31872
Tushar Deshpande,822553
