player_id,name,country,role,batting_style,bowling_style
4292,Travis Birt,Australia,Middle order batter,Left hand bat,Right arm medium
4451,George Bailey,Australia,Top order batter,Right hand bat,Right arm medium
4498,Aiden Blizzard,Australia,Batter,Left hand bat,Left arm medium
4508,Doug Bollinger,Australia,Bowler,Left hand bat,Left arm fast medium
4541,Lee Carseldine,Australia,Allrounder,Left hand bat,Left arm medium
4578,Michael Clarke,Australia,Middle order batter,Right hand bat,Slow left arm orthodox
4864,Dan Christian,Australia,Allrounder,Right hand bat,Right arm fast medium
5236,Callum Ferguson,Australia,Middle order batter,Right hand bat,Right arm medium
5334,Aaron Finch,Australia,Top order batter,Right hand bat,Slow left arm orthodox
5390,Adam Gilchrist,Australia,Wicketkeeper batter,Left hand bat,NULL
5472,Brett Geeves,Australia,Bowler,Right hand bat,Right arm fast medium
5560,Brad Haddin,Australia,Wicketkeeper batter,Right hand bat,NULL
5583,Daniel Harris,Australia,NULL,Right hand bat,Right arm medium
5605,Shane Harwood,Australia,Bowler,Right hand bat,Right arm fast medium
5616,Matthew Hayden,Australia,Opening batter,Left hand bat,Right arm medium
5674,Brad Hodge,Australia,Top order batter,Right hand bat,Right arm offbreak
5681,Brad Hogg,Australia,Allrounder,Left hand bat,Left arm wrist spin
5702,James Hopes,Australia,Allrounder,Right hand bat,Right arm medium
5766,David Hussey,Australia,Allrounder,Right hand bat,Right arm offbreak
5779,Ryan Harris,Australia,Bowler,Right hand bat,Right arm fast
5939,Michael Hussey,Australia,Middle order batter,Left hand bat,Right arm medium
5941,Ben Hilfenhaus,Australia,Bowler,Right hand bat,Right arm fast medium
5961,Moises Henriques,Australia,Allrounder,Right hand bat,Right arm fast medium
6033,Mitchell Johnson,Australia,Bowler,Left hand bat,Left arm fast
6128,Simon Katich,Australia,Batter,Left hand bat,Left arm wrist spin
6161,Michael Klinger,Australia,Batter,Right hand bat,Batter
6278,Brett Lee,Australia,Bowler,Right hand bat,Right arm fast
6285,Darren Lehmann,Australia,Top order batter,Left hand bat,Slow left arm orthodox
6513,Damien Martyn,Australia,Top order batter,Right hand bat,Right arm medium
6553,Andrew McDonald,Australia,Allrounder,Right hand bat,Right arm fast medium
6565,Glenn McGrath,Australia,Bowler,Right hand bat,Right arm fast medium
6683,Shaun Marsh,Australia,Top order batter,Left hand bat,Slow left arm orthodox
6903,Clint McKay,Australia,Bowler,Right hand bat,Right arm fast medium
6938,Ashley Noffke,Australia,Allrounder,Right hand bat,Right arm fast medium
6981,Dirk Nannes,Australia,Bowler,Right hand bat,Left arm fast
7133,Ricky Ponting,Australia,Top order batter,Right hand bat,Right arm medium
7252,Tim Paine,Australia,Wicketkeeper batter,Right hand bat,NULL
7443,Nathan Rimmington,Australia,Bowler,Right hand bat,Right arm fast medium
7502,Luke Ronchi,New Zealand,Wicketkeeper batter,Right hand bat,NULL
7547,Ben Rohrer,Australia,Middle order batter,Left hand bat,Occasional wicketkeeper
